Gene	Expert Panel
PTPN11	RASopathy
BRAF	RASopathy
SOS1	RASopathy
SHOC2	RASopathy
RAF1	RASopathy
HRAS	RASopathy
MAP2K2	RASopathy
MAP2K1	RASopathy
KRAS	RASopathy
MLH1	InSiGHT
MSH2	InSiGHT
MSH6	InSiGHT
PMS2	InSiGHT
BRCA1	ENIGMA
BRCA2	ENIGMA
PAH	PAH
CDH1	CDH1
PTEN	PTEN
CFTR	CFTR2
MYH7	Cardiomyopathy
MYBPC3	Cardiomyopathy
TNNT2	Cardiomyopathy
TPM1	Cardiomyopathy
MYL2	Cardiomyopathy
MYL3	Cardiomyopathy
TNNI3	Cardiomyopathy
ACTC1	Cardiomyopathy
PLN	Cardiomyopathy
USH2A	Hearing
GJB2	Hearing
SLC26A4	Hearing
MYO7A	Hearing
KCNQ4	Hearing
TECTA	Hearing
MYO6	Hearing
COCH	Hearing
CDH23	Hearing
AKT3	Brain_Malformations
PIK3CA	Brain_Malformations
PIK3R2	Brain_Malformations
MTOR	Brain_Malformations
DEPDC5	Brain_Malformations
HNF4A	Monogenic_Diabetes
GCK	Monogenic_Diabetes
HNF1B	Monogenic_Diabetes
INS	Monogenic_Diabetes
KCNJ11	Monogenic_Diabetes
ABCC8	 Monogenic_Diabetes
LDLR	FH
APOB	FH
PCSK9	FH
KCNQ1	KCNQ1
FBN1	FBN1
TP53	TP53
RUNX1	Myeloid_Malignancy
ANKRD26	Myeloid_Malignancy
ETV6	Myeloid_Malignancy
DDX41	Myeloid_Malignancy
CEBPA	Myeloid_Malignancy
ATM	HBOPC
BARD1	HBOPC
BRIP1	HBOPC
CHEK2	HBOPC
RAD51C	HBOPC
RAD51D	HBOPC
PALB2	HBOPC
VHL	VHL
GAA	LSD
IDUA	LSD
GLA	LSD
MECP2	Rett_Angelman_like_Disorders
CDKL5	Rett_Angelman_like_Disorders
FOXG1	Rett_Angelman_like_Disorders
UBE3A	Rett_Angelman_like_Disorders
SLC9A6	Rett_Angelman_like_Disorders
TCF4	Rett_Angelman_like_Disorders
ITGA2B	Platelet_Disorders
ITGB3	Platelet_Disorders
GP9	Platelet_Disorders
GP1BA	Platelet_Disorders
GP1BB	Platelet_Disorders
ARSE	Chondrodysplasia_punctata
ZIC1	Craniosynostosis
MSX2	Craniosynostosis
TWIST1	Craniosynostosis
ALX4	Craniosynostosis
TCF12	Craniosynostosis
SMAD6	Craniosynostosis
ERF	Craniosynostosis
